algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.072,18.821,0.931,0.931,0.931,0.931,0.931,0.919,0.876,0.919,0.069,0.069,0.194,0.745,0.863,0.923,85.091
Linear Regression,0.019,0.623,0.364,0.416,0.364,0.326,0.336,0.306,0.252,0.262,0.636,0.636,1.422,4.027,2.007,0.245,19.495
Logistic Regression,0.051,68.325,0.633,0.664,0.633,0.610,0.618,0.582,0.522,0.572,0.367,0.367,1.122,4.898,2.213,0.518,4.832
KNN,98.388,0.239,0.930,0.931,0.930,0.929,0.930,0.919,0.873,0.918,0.070,0.070,0.211,0.873,0.935,0.929,82.535
Random Forest,7.711,477.895,0.956,0.957,0.956,0.956,0.957,0.949,0.919,0.949,0.044,0.044,0.121,0.454,0.674,0.956,90.914
MLP,0.446,1411.647,0.853,0.855,0.853,0.850,0.852,0.830,0.761,0.830,0.147,0.147,0.462,2.065,1.437,0.838,58.677
Bagging,0.960,179.241,0.948,0.948,0.948,0.948,0.948,0.940,0.905,0.940,0.052,0.052,0.145,0.556,0.746,0.945,88.864
J48,0.062,37.893,0.934,0.934,0.934,0.934,0.934,0.923,0.881,0.923,0.066,0.066,0.185,0.708,0.841,0.927,85.831
ANN,20.084,289.847,0.690,0.691,0.690,0.671,0.668,0.644,0.571,0.638,0.310,0.310,1.027,4.860,2.204,0.605,2.779
DNN,21.188,363.087,0.799,0.796,0.799,0.791,0.792,0.768,0.690,0.767,0.201,0.201,0.654,3.018,1.737,0.766,39.735
Gradient Boosting,5.085,4713.993,0.891,0.892,0.891,0.890,0.891,0.874,0.815,0.874,0.109,0.109,0.333,1.432,1.197,0.882,71.370
XGBoost,1.718,67.422,0.944,0.945,0.944,0.944,0.944,0.936,0.899,0.935,0.056,0.056,0.154,0.591,0.769,0.942,88.191
Gaussian Naive Bayes,0.526,0.581,0.559,0.636,0.559,0.545,0.578,0.530,0.465,0.493,0.441,0.441,1.679,8.620,2.936,0.469,-52.328
Adaptive Gradient Boosting,17.969,2014.961,0.805,0.809,0.805,0.806,0.808,0.774,0.702,0.773,0.195,0.195,0.589,2.542,1.594,0.772,49.144
QDA,0.728,1.358,0.074,0.011,0.074,0.018,0.013,-0.000,0.010,-0.000,0.926,0.926,4.109,21.798,4.669,0.111,-3.203
SNN,21.661,360.393,0.838,0.838,0.838,0.834,0.835,0.813,0.741,0.812,0.162,0.162,0.518,2.349,1.533,0.818,52.989
RBM,23.877,340.118,0.244,0.094,0.244,0.096,0.070,0.001,0.060,0.000,0.756,0.756,1.796,5.517,2.349,0.111,-0.002
LSTM,68.371,2786.193,0.846,0.849,0.846,0.844,0.846,0.822,0.751,0.822,0.154,0.154,0.501,2.280,1.510,0.828,54.371
reconstruction_NN,23.108,390.844,0.794,0.794,0.794,0.788,0.790,0.764,0.686,0.762,0.206,0.206,0.666,3.038,1.743,0.762,39.542
DANN,26.323,368.202,0.806,0.807,0.806,0.799,0.801,0.777,0.697,0.776,0.194,0.194,0.631,2.881,1.697,0.776,42.425
DBN,1.899,875.986,0.516,0.508,0.516,0.437,0.434,0.495,0.386,0.419,0.484,0.484,1.301,4.490,2.119,0.323,12.378
DBM,18.453,349.444,0.838,0.839,0.838,0.835,0.836,0.814,0.741,0.813,0.162,0.162,0.519,2.353,1.534,0.820,52.924
DA,21.619,579.276,0.856,0.857,0.856,0.853,0.855,0.834,0.765,0.833,0.144,0.144,0.461,2.081,1.443,0.843,58.356
PassiveAggressiveClassifier,0.092,23.491,0.579,0.604,0.579,0.552,0.568,0.518,0.455,0.502,0.421,0.421,1.256,5.139,2.267,0.433,-2.816
RidgeClassifier,0.058,1.394,0.586,0.627,0.586,0.533,0.538,0.538,0.445,0.513,0.414,0.414,1.105,4.213,2.053,0.452,18.443
NearestCentroid,0.104,0.339,0.486,0.530,0.486,0.454,0.480,0.420,0.346,0.402,0.514,0.514,1.461,6.224,2.495,0.392,-14.254
CSLR,0.068,52.003,0.668,0.677,0.668,0.639,0.644,0.625,0.546,0.616,0.332,0.332,1.355,7.003,2.646,0.586,-26.881
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,1.884,68.578,0.507,0.416,0.507,0.428,0.418,0.497,0.388,0.409,0.493,0.493,1.313,4.515,2.125,0.311,12.200
GRU,9.054,488.764,0.747,0.741,0.747,0.723,0.725,0.710,0.620,0.706,0.253,0.253,0.801,3.571,1.890,0.691,29.594
Stochastic_gradient,0.018,2.727,0.631,0.629,0.631,0.607,0.610,0.575,0.508,0.570,0.369,0.369,1.083,4.505,2.122,0.525,10.029
Extra Trees Classifier,0.710,13.434,0.915,0.916,0.915,0.914,0.915,0.902,0.851,0.902,0.085,0.085,0.249,1.024,1.012,0.913,79.542
